"type","entry","url","detail"
"dead","abortion-flip-flop-denial","https://www.npr.org/2024/04/08/1243458271/trump-abortion-positions-timeline","404"
"dead","antifa-domestic-terrorist-designation","https://www.whitehouse.gov/presidential-actions/executive-order-designating-antifa-domestic-terrorist-organization/","404"
"dead","antifa-domestic-terrorist-designation","https://www.brennancenter.org/our-work/analysis-opinion/trump-antifa-domestic-terrorism-designation","404"
"dead","antifa-domestic-terrorist-designation","https://www.cnn.com/2025/09/25/politics/trump-antifa-domestic-terrorist-designation/index.html","404"
"dead","antifa-domestic-terrorist-designation","https://www.factcheck.org/2025/09/trump-antifa-domestic-terrorist-designation/","404"
"dead","birthright-citizenship-executive-order","https://apnews.com/article/trump-birthright-citizenship-executive-order-blocked-judge-14th-amendment","404"
"dead","birthright-citizenship-executive-order","https://www.reuters.com/legal/government/judges-block-trump-birthright-citizenship-executive-order-2025-01-23/","401 (Reuters — fabrication signal)"
"dead","birthright-citizenship-executive-order","https://www.npr.org/2025/01/20/nx-s1-5268028/trump-birthright-citizenship-executive-order","404"
"dead","blanche-lies-all-epstein-files-released","https://www.cnn.com/2026/04/03/politics/blanche-epstein-files-claim","404"
"dead","blanche-lies-all-epstein-files-released","https://www.nbcnews.com/politics/massie-blanche-epstein-files-transparency-act","404"
"dead","body-slamming-reporter","https://www.cnn.com/2017/07/02/politics/trump-cnn-wwe-video/index.html","404"
"dead","bondi-doj-drops-23000-cases-immigration","https://www.nbcnews.com/politics/doj-declined-criminal-cases-bondi-immigration","404"
"dead","bondi-epstein-briefing-walkout-subpoena","https://www.cbsnews.com/news/bondi-house-oversight-epstein-files-subpoena/","404"
"dead","bondi-epstein-briefing-walkout-subpoena","https://www.cbsnews.com/news/democrats-walkout-bondi-epstein-briefing-fake-hearing/","404"
"dead","bondi-epstein-briefing-walkout-subpoena","https://abcnews.go.com/Politics/bondi-epstein-subpoena-house-oversight/story","404"
"dead","bondi-epstein-briefing-walkout-subpoena","https://www.democracynow.org/2026/3/19/bondi_epstein_walkout_subpoena","404"
"dead","cabinet-dissenter-retaliation","https://www.bbc.com/news/world-us-canada-46644736","404"
"dead","cabinet-dissenter-retaliation","https://apnews.com/article/donald-trump-fires-mark-esper-64c5b7b2c31e7e6c0e6b1a1c5c5f5f5f","404"
"dead","cabinet-dissenter-retaliation","https://apnews.com/article/election-2020-joe-biden-donald-trump-virus-outbreak-elections-0d2ffdbf0cc1fe7bcf8f6f8f88afbd26","404"
"dead","cabinet-dissenter-retaliation","https://www.propublica.org/article/trump-inspector-general-firings-oversight","404"
"dead","canada-separatist-meetings","https://nationalpost.com/news/politics/u-s-officials-met-with-group-that-hopes-to-separate-alberta-from-canada-report-says","404"
"dead","canada-separatist-meetings","https://www.foxnews.com/politics/report-u-s-officials-met-group-separate-alberta-from-canada-report-says","404"
"dead","classified-docs-business-interests-smith-memo","https://lasvegassun.com/news/2026/mar/25/trump-showed-off-a-classified-map-during-a-2022-pl/","404"
"dead","confused-biden-with-obama","https://apnews.com/article/trump-obama-biden-2024-gaffes-2df1b598728b3d5c0cf55d2746a1e83a","404"
"dead","confused-biden-with-obama","https://www.reuters.com/world/us/trump-confuses-obama-biden-rally-2024-01-19/","401 (Reuters — fabrication signal)"
"dead","corporate-tax-cuts-inauguration-ceos","https://itep.org/corporate-tax-avoidance-trump-tax-cuts/","404"
"dead","court-blocks-rfk-vaccine-changes","https://www.nbcnews.com/health/health-news/federal-judge-blocks-rfk-jr-vaccine-schedule-overhaul-rcna263000","404"
"dead","court-blocks-rfk-vaccine-changes","https://www.npr.org/2026/03/16/court-blocks-kennedy-vaccine-schedule-acip","404"
"dead","court-blocks-rfk-vaccine-changes","https://www.cbsnews.com/news/judge-blocks-rfk-jr-vaccine-schedule-arbitrary-capricious/","404"
"dead","court-blocks-rfk-vaccine-changes","https://reason.com/2026/03/16/federal-court-strikes-down-kennedy-vaccine-schedule/","404"
"dead","court-blocks-rfk-vaccine-changes","https://www.cnbc.com/2026/03/16/court-blocks-kennedy-childhood-vaccine-overhaul.html","404"
"dead","denied-terminate-constitution","https://abcnews.go.com/Politics/trump-calls-termination-rules-regulations-articles-constitution/story?id=93751206","404"
"dead","devin-nunes-quits-trump-media-stock-collapse","https://abcnews.com/Technology/wireStory/trump-media-company-replaces-ceo-congressman-nunes-after-132256965","404"
"dead","dhs-administrative-subpoenas-targeting-critics","https://www.aclunc.org/news/dhs-withdraws-subpoena-seeking-unmask-instagram-users-who-posted-about-ice-raids","404"
"dead","doj-mass-exodus-stacey-young-justice-connection","https://www.thejusticeconnection.org/in-the-news/","404"
"dead","doj-mass-exodus-stacey-young-justice-connection","https://www.thejusticeconnection.org/statement-on-release-of-face-act-report/","404"
"dead","don-lemon-arrest","https://kstp.com/kstp-news/top-news/journalist-don-lemon-arrested-after-protest-that-disrupted-minnesota-church-service/","404"
"dead","e-jean-carroll-verdict","https://www.cnn.com/2023/05/09/politics/donald-trump-liable-e-jean-carroll-battery-trial/index.html","404"
"dead","e-jean-carroll-verdict","https://www.reuters.com/legal/jury-orders-trump-pay-additional-833-million-e-jean-carroll-2024-01-26/","401 (Reuters — fabrication signal)"
"dead","economic-record-revisionism","https://www.forbes.com/sites/chuckjones/2020/02/17/obamas-last-three-years-of-job-growth-all-beat-trumps-best-year/","404"
"dead","epa-hfc-refrigerant-phasedown-delay-zeldin","https://www.pbs.org/newshour/politics/watch-trump-zeldin-announce-looser-rule-on-refrigerant-greenhouse-gases","404"
"dead","epa-hfc-refrigerant-phasedown-delay-zeldin","https://www.hklaw.com/en/insights/publications/2026/05/epa-finalizes-changes-to-technology-transitions","404"
"dead","epstein-relationship-denial","https://www.insider.com/donald-trump-jeffrey-epstein-flight-logs-unsealed-2021-9","404"
"dead","erika-kirk-air-force-academy-christian-nationalism","https://theintercept.com/2026/03/10/erika-kirk-air-force-academy-christian-nationalism/","404"
"dead","erika-kirk-air-force-academy-christian-nationalism","https://www.foxnews.com/politics/trump-erika-kirk-air-force-academy-board","404"
"dead","erika-kirk-air-force-academy-christian-nationalism","https://www.military.com/daily-news/2026/03/10/charlie-kirks-widow-appointed-air-force-academy-oversight-board.html","404"
"dead","erika-kirk-air-force-academy-christian-nationalism","https://www.stripes.com/branches/air_force/2026-03-10/erika-kirk-air-force-academy-board-christian-nationalism/","404"
"dead","erika-kirk-air-force-academy-christian-nationalism","https://www.breitbart.com/politics/2026/03/10/trump-names-erika-kirk-air-force-academy-board/","404"
"dead","erika-kirk-air-force-academy-christian-nationalism","https://www.christianpost.com/news/erika-kirk-air-force-academy-board-charlie-kirk-legacy.html","404"
"dead","fema-gregg-phillips-teleportation","https://www.thedailybeast.com/trump-fema-gregg-phillips-teleportation/","404"
"dead","gas-prices-cross-four-dollars-iran-war","https://www.cnbc.com/2026/03/31/gas-prices-four-dollars-iran-war.html","404"
"dead","gas-prices-cross-four-dollars-iran-war","https://www.npr.org/2026/03/31/gas-prices-four-dollars-iran-war","404"
"dead","grand-jury-refuses-indict-six-democrats","https://www.cbsnews.com/news/grand-jury-refuses-indict-democratic-lawmakers-military-orders-video/","404"
"dead","grand-jury-refuses-indict-six-democrats","https://www.cnn.com/2026/02/10/politics/grand-jury-refuses-indict-democrats/index.html","404"
"dead","grand-jury-refuses-indict-six-democrats","https://www.cnbc.com/2026/02/10/grand-jury-refuses-indict-democrats-military-orders.html","404"
"dead","hegseth-attempted-defense-stock-investment","https://www.theguardian.com/us-news/hegseth-defense-stocks-iran","404"
"dead","hegseth-censures-senator-kelly","https://www.npr.org/2026/01/05/hegseth-kelly-censure-military-retirement-pay","404"
"dead","hegseth-censures-senator-kelly","https://www.pbs.org/newshour/politics/judge-blocks-hegseth-censure-kelly","404"
"dead","hegseth-censures-senator-kelly","https://www.cnn.com/2026/02/12/politics/judge-blocks-kelly-military-retirement-pay/index.html","404"
"dead","hegseth-censures-senator-kelly","https://www.aljazeera.com/news/2026/1/5/hegseth-censures-senator-kelly-military-retirement","404"
"dead","hegseth-fires-army-chief-of-staff-mid-war","https://www.cbsnews.com/news/army-chief-of-staff-randy-george-hegseth/","404"
"dead","hegseth-fires-army-chief-of-staff-mid-war","https://apnews.com/article/army-chief-staff-george-hegseth-resign","404"
"dead","ice-custody-death-royer-perez-jimenez","https://www.miaminewtimes.com/news/19-year-old-mexican-man-dies-presumed-suicide-ice-custody-glades","404"
"dead","ice-custody-death-royer-perez-jimenez","https://abcnews.go.com/US/19-year-old-dies-ice-custody-florida-detention/story","404"
"dead","ice-custody-death-royer-perez-jimenez","https://hanfordsentinel.com/news/nation-world/teen-dead-ice-detention-florida/article","404"
"dead","ice-custody-death-royer-perez-jimenez","https://www.npr.org/2026/03/17/ice-custody-death-royer-perez-jimenez-glades","404"
"dead","ice-custody-death-royer-perez-jimenez","https://www.cbsnews.com/news/19-year-old-dies-ice-custody-glades-county-detention/","404"
